random1,random2,random3,random4,random5,random6,random7
0.960046009178609,0.425239993260919,0.521271443176789,0.810424242010349,0.472861980192289,0.0654617358610015,0.763690290678518
0.291040027563569,0.65364317787514,0.937399837841505,0.437202356761999,0.0205416197801103,0.541888540181724,0.528939251896055
0.0462729734410464,0.54398555352805,0.362734308203101,0.981369598968301,0.465006851164143,0.366876236667137,0.0375453561033988
0.539355991273045,0.306980492369477,0.888298434354481,0.326398653267372,0.115483796941502,0.54602428921253,0.689022943016938
0.837040051307029,0.359407791234737,0.186187223513442,0.0595146374835715,0.803061769379742,0.612056774092005,0.345302460968441
0.223872066604379,0.426296171805689,0.883882624578972,0.0716482376144716,0.480428965730616,0.555033647627019,0.758979043489219
0.035677707475193,0.640251014052329,0.357226093539063,0.402850360146817,0.435365986015439,0.672378163410258,0.429415473734787
0.914298066197226,0.865010927313629,0.76509083931697,0.992996060061889,0.501435982969779,0.0539459463449174,0.774972624853494
0.869033275668076,0.577678642757264,0.172585716699366,0.3820663351039,0.145540303907507,0.351125726165705,0.980024626829254
0.512836673521512,0.412958725436999,0.368822324670632,0.380136693776923,0.649367646774886,0.137922542770854,0.968459737076191
0.675601689162812,0.0702560673146053,0.93951756098295,0.351501577143585,0.657327424572885,0.547234566099495,0.062512227073675
0.888056371154168,0.95594810499638,0.0646949519927449,0.136579311194428,0.919279804913267,0.08918607033298,0.999602907792817
0.818051182480179,0.105463050886289,0.0329797384018732,0.313479087168642,0.998511948625112,0.739339533309022,0.393648376516364
0.814259015950097,0.266255705663987,0.0485154506713495,0.474139354556097,0.99527599155606,0.780199206244031,0.385894648036455
0.25118985887645,0.445570302277809,0.933347801257036,0.974215206111081,0.396584146449848,0.0899193339206971,0.973311845935952
0.567622284294539,0.437928161251033,0.952918381302438,0.84592595669524,0.439633815973976,0.949511601296866,0.69828830439069
0.625148150305539,0.238876182077668,0.480237360721906,0.668556839035125,0.811100980689749,0.121592274702604,0.438890003329787
0.699637638708281,0.319806312965319,0.465566299578819,0.613286856310731,0.745226074144247,0.67083911725446,0.381352209961068
